trade_id,symbol,row,bar_entry,date_entry,bar_exit,date_exit,hold_bars,era,year_entry,exit_reason,pct_mom,mom_raw,pct_mom_exit,price_close,price_open_fill,price_close_exit,dv,dv_pct,beta,half_spread_PUB_bp,half_spread_PB_bp,members_at_entry,pct_rsi,pct_rev_5,pct_rev_21,pct_dist_52w_high,pct_max_ret_21,pct_park_vol_21,pct_amihud_21,pct_cs_spread,pct_trailing_return,pnl_hedged_bp,pnl_unhedged_bp,pnl_market_bp,mfe_bp,mae_bp,bars_to_mfe,bars_to_mae,two_c_PUB_bp,two_c_PB_bp,pnl_net_PUB_bp,pnl_net_PB_bp,status_meta,delist_date
835,XLRN,1546,2555,2020-02-28,2791,2021-02-04,237,2,2020,rank,97.517123,0.548343,79.848229,85.93,84.32,128.6,43489632.163571,48.883929,1.368468,56.72593,125.806542,60,98.030822,73.886986,97.174658,91.866438,90.839041,90.496575,53.339041,97.003425,99.914384,803.95889376,5599.0764143,4795.11752054,3391.30285,-205.541532,36,124,119.811882,213.015571,684.1470117,590.9433223,delisted,2021-11-22
836,IBRX,690,2558,2020-03-04,2560,2020-03-06,3,2,2020,ineligible,99.914089,1.669766,99.913941,5.43,5.08,4.89,12760270.709524,10.475483,3.586707,101.207361,171.815556,58,79.295533,96.134021,7.474227,6.786942,70.017182,99.914089,99.914089,99.742268,99.226804,132.5458611,-329.03663326,-461.58249436,546.984474,132.545861,1,3,215.456144,190.231762,-82.91028242,-57.68590135,survived,
837,AXON,142,2561,2020-03-09,2582,2020-04-07,22,2,2020,rank,95.611015,0.523454,78.725314,66.11,69.17,68.96,53416078.063016,54.402985,1.269558,49.193492,308.191645,58,67.211704,35.886403,65.490534,61.876076,75.989673,86.833046,51.204819,84.423408,90.447504,1463.14417996,612.08491934,-851.05926063,2403.36367,-814.541755,15,3,143.25337,357.814858,1319.89081017,1105.32932184,survived,
838,DQ,430,2561,2020-03-09,2628,2020-06-12,68,2,2020,rank,96.471601,0.553415,79.432014,50.73,53.36,58.01,15124663.735873,15.149254,1.475732,88.066141,0.0,58,68.760757,14.199656,92.168675,33.476764,98.020654,96.471601,91.480207,99.053356,79.432014,950.05908013,2498.99652248,1548.93744235,3372.844401,-343.885425,13,57,163.137951,1.97122,786.92112903,948.08785994,survived,
839,BURL,231,2565,2020-03-13,2587,2020-04-15,23,2,2020,rank,95.4947,0.529204,69.156415,187.8,190.0,173.48,158731447.98873,78.604294,0.646387,49.098093,0.0,55,41.607774,75.0,67.226148,78.35689,2.738516,14.399293,15.989399,74.646643,78.886926,-334.51347323,178.12758706,512.64106029,-270.319092,-2117.760206,1,4,124.825997,0.532481,-459.33947041,-335.04595459,survived,
840,PENN,1069,2566,2020-03-16,2568,2020-03-18,3,2,2020,ineligible,95.106762,0.533262,94.144144,8.54,12.4,4.52,86010879.875715,63.242009,1.531848,108.872468,0.0,56,15.925267,4.359431,3.291815,7.740214,79.80427,97.241993,49.55516,99.021352,18.594306,-7583.59387347,-8363.32576192,-779.73188845,-2918.235405,-7583.593873,1,3,213.605793,2199.922878,-7797.19966655,-9783.51675196,survived,
841,SBSW,1213,2567,2020-03-17,2568,2020-03-18,2,2,2020,ineligible,99.558304,0.96739,99.54955,6.04,4.8,3.96,47394455.954127,46.918336,1.104206,60.429453,0.0,55,36.837456,7.332155,12.279152,12.985866,61.925795,97.968198,77.29682,71.466431,12.45583,-78.06241263,-860.37527594,-782.3128633,2369.802728,-78.062413,1,2,160.814862,389.64246,-238.87727473,-467.7048724,survived,
842,AMN,73,2568,2020-03-18,2596,2020-04-28,29,2,2020,rank,95.430108,0.529547,74.912587,81.99,77.35,46.54,26764995.789524,28.139535,0.644214,70.91501,177.328542,55,98.655914,99.551971,97.939068,99.910394,76.075269,51.523297,54.928315,75.179211,98.835125,-7102.04930906,-4373.54370243,2728.50560663,1004.711781,-7130.606613,1,28,168.552184,178.548203,-7270.60149273,-7280.59751174,survived,
843,INSG,715,2569,2020-03-19,2582,2020-04-07,14,2,2020,rank,96.306306,0.559033,76.570916,5.55,5.3,7.28,19574239.916825,19.793323,1.278024,116.63157,555.368227,56,84.414414,94.864865,46.396396,45.855856,96.126126,92.162162,93.243243,95.585586,43.873874,1517.45823773,3451.67495883,1934.2167211,2093.846488,-479.383861,12,2,260.198825,573.386245,1257.2594124,944.071993,collapsed,
844,LM,826,2569,2020-03-19,2575,2020-03-27,7,2,2020,ineligible,96.486486,0.567543,,46.7,45.38,48.32,103620299.668254,67.647059,0.30818,14.881577,0.0,56,89.099099,78.108108,94.504505,97.207207,0.09009,0.09009,4.414414,1.351351,98.828829,-989.99762692,641.0079077,1631.00553463,118.134841,-1311.387485,3,6,49.457338,12.543528,-1039.45496517,-1002.54115465,delisted,2020-07-31
845,MGNI,877,2569,2020-03-19,2571,2020-03-23,3,2,2020,ineligible,97.387387,0.58593,97.731397,5.6,4.97,4.99,16807744.059683,14.864865,1.328001,88.570151,449.852724,56,39.90991,27.477477,13.783784,17.387387,95.765766,89.459459,95.945946,85.135135,36.666667,155.75638085,174.11404555,18.3576647,658.21036,-52.363084,1,2,235.132395,467.709867,-79.37601381,-311.95348651,survived,
846,PENN,1069,2571,2020-03-23,2579,2020-04-02,9,2,2020,rank,97.192029,0.595624,78.856624,9.8,9.1,9.21,94286281.746667,64.921875,2.18524,195.827525,0.0,58,21.467391,0.815217,0.815217,2.807971,97.192029,99.728261,59.32971,99.184783,3.17029,131.56662076,1108.48746085,976.9208401,4032.54828,131.566621,3,9,476.701144,325.12302,-345.13452324,-193.55639884,survived,
847,RVNC,1200,2571,2020-03-23,2590,2020-04-20,20,2,2020,rank,95.018116,0.547005,77.768014,12.8,12.92,16.09,19342702.007778,18.359375,1.135791,87.121807,0.0,58,41.576087,56.974638,17.481884,28.351449,38.858696,79.257246,92.300725,56.431159,37.952899,274.43272667,2596.97734517,2322.5446185,599.81095,-927.681515,11,8,233.888861,103.964,40.54386615,170.46872713,collapsed,
848,VNET,1466,2571,2020-03-23,2830,2021-04-01,260,2,2020,rank,95.199275,0.552422,78.449744,12.98,13.0,33.54,10060132.83381,3.046875,1.220416,112.465381,0.0,58,98.097826,88.858696,97.373188,96.105072,79.619565,74.547101,93.025362,81.431159,99.90942,4072.84864105,12676.73018229,8603.88154124,6357.71406,-4098.230347,213,55,254.270044,129.152882,3818.57859707,3943.69575908,survived,
849,Z,1559,2571,2020-03-23,2585,2020-04-13,15,2,2020,rank,96.105072,0.563474,76.713533,31.22,27.19,38.44,166116428.490159,78.828125,1.080185,112.872428,0.0,58,14.039855,23.460145,10.597826,16.757246,3.17029,83.786232,25.271739,81.612319,34.32971,1848.57729863,4121.47956261,2272.90226398,2871.443127,458.689748,3,9,253.289453,188.808987,1595.28784525,1659.76831149,survived,
850,MGNI,877,2574,2020-03-26,2579,2020-04-02,6,2,2020,ineligible,98.291367,0.641253,96.823956,6.06,5.74,4.7,16542646.306984,14.362519,1.310153,110.380475,395.32153,56,21.133094,59.802158,5.845324,13.579137,80.485612,85.161871,96.133094,73.471223,25.44964,-1512.34565467,-1890.40747254,-378.06181786,437.22458,-1512.345655,2,6,293.761207,411.82318,-1806.1068613,-1924.16883487,survived,
851,SBSW,1213,2574,2020-03-26,2575,2020-03-27,2,2,2020,ineligible,98.651079,0.717688,99.375,5.6,6.35,4.91,46540126.089682,46.159754,1.617151,176.648339,0.0,56,81.205036,93.97482,24.010791,16.996403,90.377698,96.492806,86.061151,96.492806,26.348921,-2434.50202774,-2413.24521935,21.25680839,-1616.018866,-2434.502028,1,2,395.734508,442.273552,-2830.23653581,-2876.77558021,survived,
852,ACH,16,2577,2020-03-31,2952,2021-09-24,376,2,2020,rank,97.048301,0.510338,74.543947,9.15,9.48,31.42,14525713.634762,11.171032,0.543201,96.839609,0.0,55,99.731664,97.763864,99.552773,99.731664,98.479428,90.250447,92.218247,45.527728,99.910555,11621.47877676,19104.62799544,7483.14921868,15779.081176,-5515.703712,331,7,140.701285,10.928962,11480.77749146,11610.54981501,collapsed,
853,COLL,323,2577,2020-03-31,2584,2020-04-09,8,2,2020,rank,96.332737,0.450242,78.747795,16.33,16.73,19.3,15206066.924444,12.095532,1.132106,111.298501,0.0,55,56.618962,65.026834,29.069767,55.008945,66.100179,47.495528,96.153846,60.554562,69.320215,509.94421821,1509.2222085,999.2779903,509.944218,-207.33993,8,1,231.549985,207.914752,278.39423358,302.02946608,survived,
854,CSTM,356,2577,2020-03-31,2578,2020-04-01,2,2,2020,ineligible,95.438283,0.440758,90.754039,5.21,5.17,4.94,19893680.904762,19.337442,1.9899,181.020357,241.913644,55,13.148479,61.449016,2.951699,7.423971,96.511628,95.438283,97.763864,96.153846,5.277281,194.25509453,-440.864726,-635.11982052,194.255095,109.120961,2,1,396.806964,539.944757,-202.55186952,-345.68966209,survived,
855,AU,128,2579,2020-04-02,2720,2020-10-22,142,2,2020,rank,95.780969,0.456577,76.365188,17.72,17.27,25.45,78779694.830794,59.890966,0.437528,151.740311,142.335834,54,77.468582,6.193896,68.850987,74.057451,87.342908,89.138241,44.793537,87.881508,89.856373,156.33274177,4751.3279087,4594.99516693,4602.994005,-773.155788,80,46,186.327417,147.979175,-29.99467475,8.35356649,survived,
856,BRO,214,2580,2020-04-03,2614,2020-05-22,35,2,2020,rank,95.190563,0.458382,78.534483,33.41,34.38,38.42,79279704.682222,60.140406,0.763216,87.831528,0.0,52,45.462795,66.878403,50.362976,73.593466,29.491833,5.898367,36.388385,31.669691,61.252269,-1183.8878972,1267.92621374,2451.81411093,-67.401369,-1733.366729,7,18,132.334097,2.993116,-1316.22199401,-1186.88101303,survived,
