bar,date,year,era,members,entries,exits,gross_bp,cost_bp,net_PUB_bp,net_PB_bp,equity_gross_bp,equity_net_PUB_bp,market_bp
3379,2023-06-07,2023,2,66,0,1,-27.52950201,0.7746539,-28.30415591,-27.84854531,5415.408667,3572.507035,122.74249936
3380,2023-06-08,2023,2,66,0,0,15.17928808,0.7746539,14.40463418,14.86024478,5430.587955,3586.911669,-0.5879683
3381,2023-06-09,2023,2,66,0,0,2.9934668,0.7746539,2.2188129,2.6744235,5433.581422,3589.130482,-45.3275869
3382,2023-06-12,2023,2,65,0,1,-27.66467123,0.7746539,-28.43932513,-27.98371453,5405.916751,3560.691157,64.65649372
3383,2023-06-13,2023,2,67,3,1,-41.30362747,0.7746539,-42.07828138,-41.62267078,5364.613123,3518.612876,119.29244931
3384,2023-06-14,2023,2,67,0,0,8.66945026,0.7746539,7.89479636,8.35040696,5373.282574,3526.507672,-62.8049127
3385,2023-06-15,2023,2,68,1,0,-119.56233257,0.7746539,-120.33698647,-119.88137587,5253.720241,3406.170686,96.57389476
3386,2023-06-16,2023,2,66,0,2,-8.53977908,0.7746539,-9.31443298,-8.85882238,5245.180462,3396.856253,-37.36738362
3387,2023-06-20,2023,2,66,1,1,79.33512665,0.7746539,78.56047275,79.01608335,5324.515589,3475.416726,-90.76651166
3388,2023-06-21,2023,2,65,2,3,64.7923767,0.7746539,64.0177228,64.4733334,5389.307965,3539.434448,-29.0961631
3389,2023-06-22,2023,2,64,0,1,17.25832035,0.7746539,16.48366645,16.93927705,5406.566286,3555.918115,-59.73521018
3390,2023-06-23,2023,2,63,0,1,30.14534105,0.7746539,29.37068715,29.82629775,5436.711627,3585.288802,-125.53821343
3391,2023-06-26,2023,2,63,0,0,-204.98119794,0.7746539,-205.75585184,-205.30024124,5231.730429,3379.53295,34.24784452
3392,2023-06-27,2023,2,64,2,1,-31.80363884,0.7746539,-32.57829274,-32.12268214,5199.92679,3346.954657,137.75302452
3393,2023-06-28,2023,2,61,0,3,12.70316192,0.7746539,11.92850802,12.38411862,5212.629952,3358.883165,16.36429781
3394,2023-06-29,2023,2,61,0,0,-41.71353897,0.7746539,-42.48819287,-42.03258227,5170.916413,3316.394973,90.42003667
3395,2023-06-30,2023,2,61,1,1,64.50821141,0.7746539,63.73355751,64.18916811,5235.424624,3380.12853,63.75573303
3396,2023-07-03,2023,2,62,1,0,-30.81988146,0.7746539,-31.59453536,-31.13892476,5204.604743,3348.533995,52.48266118
3397,2023-07-05,2023,2,59,0,3,8.4508565,0.7746539,7.6762026,8.1318132,5213.055599,3356.210197,-81.34044454
3398,2023-07-06,2023,2,60,2,1,-54.56165815,0.7746539,-55.33631205,-54.88070145,5158.493941,3300.873885,-126.09450495
3399,2023-07-07,2023,2,59,1,2,8.24088565,0.7746539,7.46623175,7.92184235,5166.734827,3308.340117,93.05260816
3400,2023-07-10,2023,2,60,1,0,82.2601429,0.7746539,81.48548899,81.94109959,5248.99497,3389.825606,116.4570381
3401,2023-07-11,2023,2,61,1,0,-44.3129911,0.7746539,-45.08764501,-44.63203441,5204.681979,3344.737961,118.93032896
3402,2023-07-12,2023,2,61,1,1,17.73386669,0.7746539,16.95921279,17.41482339,5222.415845,3361.697174,88.81804621
3403,2023-07-13,2023,2,62,1,0,-16.29611874,0.7746539,-17.07077264,-16.61516204,5206.119726,3344.626401,71.68898194
3404,2023-07-14,2023,2,63,1,0,56.63842097,0.7746539,55.86376707,56.31937767,5262.758147,3400.490168,-95.43944709
3405,2023-07-17,2023,2,62,0,1,24.92058099,0.7746539,24.14592709,24.60153769,5287.678728,3424.636095,64.88942797
3406,2023-07-18,2023,2,63,1,0,-62.24984296,0.7746539,-63.02449687,-62.56888627,5225.428885,3361.611598,95.04495963
3407,2023-07-19,2023,2,63,0,0,-91.26078585,0.7746539,-92.03543975,-91.57982915,5134.1681,3269.576159,62.02461184
3408,2023-07-20,2023,2,64,1,0,-46.64654017,0.7746539,-47.42119407,-46.96558347,5087.521559,3222.154965,-56.43388954
3409,2023-07-21,2023,2,64,0,0,-15.57018452,0.7746539,-16.34483842,-15.88922782,5071.951375,3205.810126,-3.66729057
3410,2023-07-24,2023,2,62,0,2,-6.65074103,0.7746539,-7.42539493,-6.96978433,5065.300634,3198.384731,21.41554572
3411,2023-07-25,2023,2,61,0,1,19.79053699,0.7746539,19.01588309,19.47149369,5085.091171,3217.400614,13.6819775
3412,2023-07-26,2023,2,62,1,0,-89.14550855,0.7746539,-89.92016245,-89.46455185,4995.945662,3127.480452,49.53016969
3413,2023-07-27,2023,2,62,0,0,5.30930081,0.7746539,4.53464691,4.99025751,5001.254963,3132.015099,-125.2014367
3414,2023-07-28,2023,2,63,1,0,77.02837913,0.7746539,76.25372523,76.70933583,5078.283342,3208.268824,110.73779209
3415,2023-07-31,2023,2,63,0,0,1.56936066,0.7746539,0.79470675,1.25031735,5079.852703,3209.063531,66.95250496
3416,2023-08-01,2023,2,63,0,0,21.17921516,0.7746539,20.40456126,20.86017186,5101.031918,3229.468092,-46.94364974
3417,2023-08-02,2023,2,62,0,1,-26.09845183,0.7746539,-26.87310573,-26.41749513,5074.933466,3202.594986,-147.90864195
3418,2023-08-03,2023,2,62,0,0,-63.82479037,0.7746539,-64.59944427,-64.14383367,5011.108676,3137.995542,-40.93183664
3419,2023-08-04,2023,2,61,0,1,166.43424475,0.7746539,165.65959085,166.11520145,5177.542921,3303.655133,-16.27182007
3420,2023-08-07,2023,2,62,1,0,-89.91473779,0.7746539,-90.68939169,-90.23378109,5087.628183,3212.965741,18.79416012
3421,2023-08-08,2023,2,63,2,1,16.40272202,0.7746539,15.62806812,16.08367872,5104.030905,3228.593809,-65.29187123
3422,2023-08-09,2023,2,61,0,2,-31.0085862,0.7746539,-31.78324011,-31.32762951,5073.022319,3196.810569,-40.58434726
3423,2023-08-10,2023,2,59,0,2,-28.90202606,0.7746539,-29.67667996,-29.22106936,5044.120293,3167.133889,-19.50868599
3424,2023-08-11,2023,2,59,1,1,-61.16437312,0.7746539,-61.93902702,-61.48341642,4982.95592,3105.194862,-2.81442496
3425,2023-08-14,2023,2,57,0,2,86.75407242,0.7746539,85.97941852,86.43502912,5069.709992,3191.174281,-9.69631203
3426,2023-08-15,2023,2,57,0,0,76.18175698,0.7746539,75.40710308,75.86271368,5145.891749,3266.581384,-140.2716568
3427,2023-08-16,2023,2,58,1,0,-20.28100903,0.7746539,-21.05566293,-20.60005233,5125.61074,3245.525721,-91.14422205
3428,2023-08-17,2023,2,58,0,0,-109.24937126,0.7746539,-110.02402516,-109.56841456,5016.361369,3135.501696,-95.9842773
3429,2023-08-18,2023,2,57,0,1,25.23226869,0.7746539,24.45761478,24.91322538,5041.593637,3159.95931,35.03179824
3430,2023-08-21,2023,2,57,1,1,45.16817051,0.7746539,44.39351661,44.84912721,5086.761808,3204.352827,7.52772014
3431,2023-08-22,2023,2,57,0,0,45.25879731,0.7746539,44.48414341,44.93975401,5132.020605,3248.83697,-18.1153933
3432,2023-08-23,2023,2,57,0,0,85.17954054,0.7746539,84.40488664,84.86049724,5217.200146,3333.241857,108.92183756
3433,2023-08-24,2023,2,58,1,0,-83.46065903,0.7746539,-84.23531293,-83.77970233,5133.739487,3249.006544,-112.88360821
3434,2023-08-25,2023,2,58,0,0,-20.20496941,0.7746539,-20.97962331,-20.52401271,5113.534517,3228.026921,42.46541442
3435,2023-08-28,2023,2,57,0,1,6.47534545,0.7746539,5.70069155,6.15630215,5120.009863,3233.727612,88.64395518
3436,2023-08-29,2023,2,56,0,1,72.21685637,0.7746539,71.44220247,71.89781307,5192.226719,3305.169815,139.22119288
3437,2023-08-30,2023,2,57,1,0,59.86155776,0.7746539,59.08690386,59.54251446,5252.088277,3364.256719,38.40273198
3438,2023-08-31,2023,2,57,0,0,-16.97877579,0.7746539,-17.75342969,-17.29781909,5235.109501,3346.503289,-17.32536625
3439,2023-09-01,2023,2,58,1,0,18.1264884,0.7746539,17.3518345,17.8074451,5253.235989,3363.855124,83.60639173
3440,2023-09-05,2023,2,58,0,0,-60.81470745,0.7746539,-61.58936135,-61.13375076,5192.421282,3302.265762,-169.96231511
3441,2023-09-06,2023,2,58,0,0,47.54212061,0.7746539,46.76746671,47.22307731,5239.963403,3349.033229,-36.92192952
3442,2023-09-07,2023,2,59,1,0,34.51247667,0.7746539,33.73782276,34.19343336,5274.475879,3382.771052,-83.02311967
3443,2023-09-08,2023,2,57,0,2,-22.12910509,0.7746539,-22.90375899,-22.44814839,5252.346774,3359.867293,-15.04372998
3444,2023-09-11,2023,2,56,0,1,27.48965334,0.7746539,26.71499944,27.17061004,5279.836428,3386.582292,30.46052682
3445,2023-09-12,2023,2,54,0,2,-61.82843389,0.7746539,-62.60308779,-62.14747719,5218.007994,3323.979204,-15.13235128
3446,2023-09-13,2023,2,54,0,0,-54.95379405,0.7746539,-55.72844795,-55.27283735,5163.0542,3268.250756,-61.09211674
3447,2023-09-14,2023,2,53,0,1,23.54685289,0.7746539,22.77219899,23.22780959,5186.601052,3291.022955,126.62605261
3448,2023-09-15,2023,2,53,0,0,-79.38093124,0.7746539,-80.15558514,-79.69997454,5107.220121,3210.86737,-80.75950632
3449,2023-09-18,2023,2,52,0,1,40.99084494,0.7746539,40.21619103,40.67180163,5148.210966,3251.083561,-47.12206809
3450,2023-09-19,2023,2,52,0,0,-28.35511858,0.7746539,-29.12977248,-28.67416188,5119.855848,3221.953789,-27.80467366
3451,2023-09-20,2023,2,53,1,0,-25.92252918,0.7746539,-26.69718308,-26.24157248,5093.933318,3195.256606,-68.19140842
3452,2023-09-21,2023,2,53,0,0,-45.24574401,0.7746539,-46.02039791,-45.56478731,5048.687574,3149.236208,-171.16284101
3453,2023-09-22,2023,2,53,0,0,-19.54258224,0.7746539,-20.31723614,-19.86162554,5029.144992,3128.918972,-28.38297069
3454,2023-09-25,2023,2,53,0,0,-47.31707459,0.7746539,-48.09172849,-47.63611789,4981.827918,3080.827243,16.05491413
3455,2023-09-26,2023,2,53,1,1,16.30185744,0.7746539,15.52720354,15.98281414,4998.129775,3096.354447,-133.42243504
