currency,area,period,rate_pct,filled
CAD,CAN,2000-08,5.618,False
CAD,CAN,2000-09,5.5725,False
CAD,CAN,2000-10,5.5975,False
CAD,CAN,2000-11,5.668,False
CAD,CAN,2000-12,5.52,False
CAD,CAN,2001-01,5.236,False
CAD,CAN,2001-02,5.0475,False
CAD,CAN,2001-03,4.595,False
CAD,CAN,2001-04,4.5025,False
CAD,CAN,2001-05,4.34,False
CAD,CAN,2001-06,4.26,False
CAD,CAN,2001-07,4.18,False
CAD,CAN,2001-08,3.936,False
CAD,CAN,2001-09,3.3325,False
CAD,CAN,2001-10,2.728,False
CAD,CAN,2001-11,2.1525,False
CAD,CAN,2001-12,2.0,False
CAD,CAN,2002-01,1.914,False
CAD,CAN,2002-02,2.015,False
CAD,CAN,2002-03,2.155,False
CAD,CAN,2002-04,2.325,False
CAD,CAN,2002-05,2.514,False
CAD,CAN,2002-06,2.69,False
CAD,CAN,2002-07,2.782,False
CAD,CAN,2002-08,2.83,False
CAD,CAN,2002-09,2.805,False
CAD,CAN,2002-10,2.768,False
CAD,CAN,2002-11,2.7,False
CAD,CAN,2002-12,2.6775,False
CAD,CAN,2003-01,2.716,False
CAD,CAN,2003-02,2.8125,False
CAD,CAN,2003-03,3.0375,False
CAD,CAN,2003-04,3.196,False
CAD,CAN,2003-05,3.1775,False
CAD,CAN,2003-06,3.0975,False
CAD,CAN,2003-07,2.912,False
CAD,CAN,2003-08,2.7775,False
CAD,CAN,2003-09,2.6325,False
CAD,CAN,2003-10,2.618,False
CAD,CAN,2003-11,2.7,False
CAD,CAN,2003-12,2.624,False
CAD,CAN,2004-01,2.3725,False
CAD,CAN,2004-02,2.195,False
CAD,CAN,2004-03,2.038,False
CAD,CAN,2004-04,1.9625,False
CAD,CAN,2004-05,1.97,False
CAD,CAN,2004-06,2.008,False
CAD,CAN,2004-07,2.035,False
CAD,CAN,2004-08,2.0625,False
CAD,CAN,2004-09,2.346,False
CAD,CAN,2004-10,2.5325,False
CAD,CAN,2004-11,2.64,False
CAD,CAN,2004-12,2.466,False
CAD,CAN,2005-01,2.455,False
CAD,CAN,2005-02,2.445,False
CAD,CAN,2005-03,2.498,False
CAD,CAN,2005-04,2.47,False
CAD,CAN,2005-05,2.46,False
CAD,CAN,2005-06,2.448,False
CAD,CAN,2005-07,2.555,False
CAD,CAN,2005-08,2.68,False
CAD,CAN,2005-09,2.795,False
CAD,CAN,2005-10,2.98,False
CAD,CAN,2005-11,3.206,False
CAD,CAN,2005-12,3.35,False
CAD,CAN,2006-01,3.42,False
CAD,CAN,2006-02,3.63,False
CAD,CAN,2006-03,3.76,False
CAD,CAN,2006-04,3.96,False
CAD,CAN,2006-05,4.126,False
CAD,CAN,2006-06,4.24,False
CAD,CAN,2006-07,4.2,False
CAD,CAN,2006-08,4.132,False
CAD,CAN,2006-09,4.15,False
CAD,CAN,2006-10,4.1575,False
CAD,CAN,2006-11,4.178,False
